CSO_LEA,p_age_12to17,p_age_18to54,p_age_55to64,p_age_65to70,p_age_71plus,p_male,p_female,p_edu_NoFormal,p_edu_Primary,p_edu_UpperSecondary,p_edu_Apprenticeship,p_edu_HonoursBachelor,p_edu_Postgraduate,p_health_VeryBad,p_health_Bad,p_health_Fair,p_health_Good,p_health_VeryGood,Wt_accessibility_Initial_Vacc,accessibility_Pharmacy10,accessibility_10,Index22_rel,AGEDEP22,ED_LOW22,EDHIGH22,UNEMPM22,UNEMPF22,p_age_12to17_females,p_age_12to17_males,p_age_18to54_females,p_age_18to54_males,p_age_55to64_females,p_age_55to64_males,p_age_65to70_females,p_age_65to70_males,p_age_71plus_females,p_age_71plus_males
CABRA-GLASNEVIN,0.059317922,0.641180924,0.129641491,0.089675654,0.08018401,0.4990586,0.5009414,0.032882639,0.12143501,0.221128538,0.084261763,0.266594556,0.273697494,0.004145982,0.017984107,0.096030404,0.321786409,0.560053098,1.017133137,68.32356425,25.08039228,4.788368214,27.21925388,10.90973975,53.37360761,8.23872679,6.703283723,0.028261418,0.031056503,0.311593781,0.329587143,0.065859198,0.063782294,0.046662396,0.043013257,0.048564607,0.031619403
CAHIR,0.110719843,0.51273442,0.156907706,0.127999345,0.091638686,0.501678814,0.498321186,0.044934222,0.140269947,0.362890825,0.154109004,0.181616265,0.116179737,0.003450179,0.013593707,0.094465912,0.34308584,0.545404361,0.937217292,10.15499402,3.184318985,-0.969652323,37.90862416,11.18217454,32.13327832,6.824782188,6.292622443,0.055933175,0.054786668,0.254033249,0.258701171,0.078044386,0.07886332,0.060682991,0.067316354,0.049627385,0.042011301
CALLAN-THOMASTOWN,0.118676678,0.503003285,0.163162834,0.123510089,0.091647114,0.497090568,0.502909432,0.040472336,0.121321779,0.316922198,0.133987239,0.228644891,0.158651557,0.003421861,0.012443131,0.0848466,0.307189797,0.592098612,1.700787496,43.048344,8.207212352,-0.003978197,37.86635842,9.833314041,38.74869777,7.771871857,6.887578071,0.056733928,0.06194275,0.255983107,0.247020178,0.081041764,0.08212107,0.060253402,0.063256687,0.048897231,0.042749883
CAPPAMORE-KILMALLOCK,0.118948161,0.508594124,0.146750668,0.131856468,0.093850579,0.50445114,0.49554886,0.040366326,0.147798521,0.349982388,0.138569919,0.191475872,0.131806974,0.003668252,0.014558377,0.098555626,0.327190921,0.556026824,0.362988155,30.87168278,9.802762785,-0.485286361,38.34794521,11.29434648,33.87458243,6.385927505,6.339522546,0.05581045,0.063137711,0.254160104,0.25443402,0.071492159,0.075258509,0.064404574,0.067451893,0.049681572,0.044169006
CARLOW,0.106129543,0.585041665,0.132559685,0.098410102,0.077859005,0.491181432,0.508818568,0.034697218,0.131042008,0.310529187,0.164429896,0.207855974,0.151445717,0.004932503,0.021028037,0.111976462,0.342852198,0.5192108,1.051969786,7.660676308,3.527007929,-3.236965708,32.77177368,10.33614589,37.56804573,12.29093141,11.88411146,0.051837841,0.054291703,0.295639282,0.289402382,0.06645877,0.066100915,0.051531108,0.046878994,0.043351567,0.034507438
CARNDONAGH,0.12610013,0.485283509,0.148391286,0.139013129,0.101211946,0.491126822,0.508873178,0.082016761,0.245363374,0.27050419,0.124330265,0.164583047,0.113202363,0.003791856,0.016859176,0.107455373,0.329366468,0.542527126,0.006835226,9.800270062,3.873532639,-8.219002274,40.61795219,21.04565928,31.0430098,12.61109777,8.571428571,0.061102294,0.064997836,0.249458953,0.235824556,0.076035204,0.072356081,0.070119752,0.068893378,0.052156976,0.04905497
CARRICK-ON-SHANNON,0.107117617,0.526299849,0.142655225,0.128319031,0.095608279,0.489550732,0.510449268,0.047638604,0.118069815,0.311293634,0.149281314,0.209445585,0.164271047,0.002515934,0.018282456,0.110114056,0.322375042,0.546712513,2.130611459,7.949902488,2.507857486,-1.284190361,39.2116511,10.33290653,39.83354673,10.30534351,7.874293785,0.051590106,0.055527511,0.269459869,0.25683998,0.072387683,0.070267542,0.065219586,0.063099445,0.051792024,0.043816254
CARRICK-ON-SUIR,0.113040243,0.493024121,0.167979165,0.128170149,0.097786321,0.497922738,0.502077262,0.060373929,0.1661906,0.384056089,0.134121008,0.16294469,0.092313685,0.006011609,0.020263267,0.108675373,0.316956882,0.548092869,0.264243449,10.74786105,6.66271219,-5.762063129,37.06106681,13.34914321,27.36383109,9.800828239,8.925097276,0.054318844,0.058721399,0.251131643,0.241892478,0.082346376,0.08563279,0.059961555,0.068208594,0.054318844,0.043467477
CARRICKMACROSS-CASTLEBLAYNEY,0.119529827,0.549528172,0.137078528,0.109044755,0.084818719,0.498703162,0.501296838,0.076523382,0.150330657,0.319437884,0.146197449,0.195914029,0.111596599,0.003278394,0.014460861,0.093366866,0.313378542,0.575515337,2.338181366,19.47337691,4.304318066,-2.99988282,37.34287784,13.68526038,32.33596922,8.842003543,9.028340081,0.059378621,0.060151206,0.272391148,0.277137023,0.069201479,0.067877049,0.053804978,0.055239777,0.046520611,0.038298107
CARRIGALINE,0.123528634,0.566161883,0.148293876,0.100052903,0.061962703,0.485517789,0.514482211,0.018667715,0.065566254,0.299600445,0.124975437,0.262461518,0.22872863,0.002309651,0.009868507,0.065483846,0.289624944,0.632713052,0.416565738,32.65361043,15.47398018,7.420618337,34.8090433,5.332559297,49.59363078,5.289028706,5.551778835,0.059648195,0.063880439,0.294670017,0.271491866,0.074031213,0.074262664,0.051844994,0.048207909,0.034287793,0.027674911
