CSO_LEA,p_age_12to17,p_age_18to54,p_age_55to64,p_age_65to70,p_age_71plus,p_edu_NoFormal,p_edu_Primary,p_edu_UpperSecondary,p_edu_Apprenticeship,p_edu_HonoursBachelor,p_edu_Postgraduate,p_health_VeryBad,p_health_Bad,p_health_Fair,p_health_Good,p_health_VeryGood
CLONMEL,0.106006541778174,0.520566954108435,0.156457528000793,0.12359996035286,0.0933690157597383,0.03771118262268705,0.13616251005631536,0.35277554304102976,0.14712389380530974,0.18885760257441672,0.13736926790024134,0.00428237736828445,0.01777835452893849,0.1061510511289904,0.34081667964356777,0.5309715373302188
CLONTARF,0.077191680670435,0.553261604940966,0.151655354531765,0.114859998690557,0.103031361166277,0.01902173913043478,0.08606313281715307,0.22643686718284697,0.08338296605122096,0.2914309112567004,0.2936643835616438,0.00337689032447511,0.01374614594039054,0.08473425341359565,0.2897702246366172,0.6083724856849214
COBH,0.123913799096281,0.580743830378867,0.133611400764685,0.0962113312478276,0.0655196385123392,0.02485577950288441,0.08717327825653444,0.32476319350473615,0.13966241720675163,0.2332454953350901,0.19029983619400329,0.00300158416942275,0.01170061977154609,0.07737416970067536,0.29693449320474696,0.6109891331536088
CONAMARA NORTH,0.104132901134522,0.457725553754727,0.170380875202593,0.161669367909238,0.10609130199892,0.05765171503957783,0.1853562005277045,0.2964379947229551,0.12229551451187336,0.17691292875989445,0.16134564643799473,0.00423188405797101,0.01478260869565217,0.11333333333333331,0.3402898550724638,0.5273623188405797
CONAMARA SOUTH,0.110358799381564,0.500346537292744,0.164258676760676,0.131097723516554,0.0939382630484619,0.05028854080791426,0.13035861500412202,0.2369126133553174,0.10449299258037922,0.22197032151690024,0.2559769167353669,0.00322375590265165,0.01343988376316745,0.09353432618961131,0.29399745731928806,0.5958045768252815
CORCA DHUIBHNE,0.0965070514922926,0.482617251557888,0.168907838635618,0.151771072482781,0.10019678583142,0.03523434939364143,0.12733529990167158,0.3275975090134382,0.12586037364798427,0.2146837102589315,0.169288757784333,0.00229869044302034,0.0114934522151017,0.09299247701309556,0.33142936751184177,0.5617860128169406
CORK CITY NORTH EAST,0.0954583921015515,0.593399153737659,0.134950634696756,0.0993229901269393,0.0768688293370945,0.03766811032596307,0.11858901299293367,0.3287554137223615,0.12423068155915204,0.20720310006838383,0.18355368133120584,0.00383735517673972,0.01734189358718913,0.0949991390549283,0.32152608663567267,0.5622955255454702
CORK CITY NORTH WEST,0.0913540929464496,0.571066289219155,0.144049304081151,0.112556027364945,0.0809742863882991,0.04868729200049303,0.18994206828546775,0.3279304819425613,0.11832860840626155,0.16898804388019228,0.14612350548502404,0.00617432443268382,0.02194424397936546,0.12046614813032903,0.32959131852564616,0.5218239649319755
CORK CITY SOUTH CENTRAL,0.0577960361264425,0.639582288008028,0.135066482689413,0.0893439538384345,0.0782112393376819,0.02789996229734824,0.1014201332160362,0.2559381676511248,0.10569310041472917,0.2634158602488375,0.24563277617192408,0.00355613028368221,0.01710714189498639,0.10226568603680056,0.3337913198092621,0.5432797219752687
CORK CITY SOUTH EAST,0.0955076246737189,0.557136969363924,0.157466684984201,0.100810550899849,0.0890781700783075,0.01851663444907925,0.05783904771594262,0.2586224437887883,0.09548275511242242,0.29158612269813816,0.27795299623562925,0.00285455684745526,0.01241616189746803,0.08245723966673629,0.2938569008331593,0.6084151407551811
CORK CITY SOUTH WEST,0.0872396493184007,0.569350833628946,0.135407692697512,0.107991689048802,0.10001013530634,0.02328419408376452,0.0808845064922386,0.2725275798106024,0.1033388655667285,0.28014253636629893,0.23982231768036708,0.00333569611808364,0.01400992369595129,0.08729099779010133,0.3091356377434016,0.5862277446524622
DONAGHMEDE,0.0901126071649332,0.583756618022521,0.126958531538069,0.0955145260555242,0.103657717218952,0.03617782319877363,0.14670413898824733,0.315074092999489,0.12846193152784874,0.20311701584057232,0.170464997445069,0.00481813246471227,0.01705573651827723,0.09887350705754616,0.3286283025696706,0.5506243213897937
DONEGAL,0.103787811585204,0.478621484964073,0.163798456488956,0.144371507140956,0.109420739820811,0.04231274638633377,0.2008760402978537,0.3203679369250986,0.14358300481822164,0.16671046868155937,0.12614980289093297,0.00323720930232558,0.01529302325581395,0.10816744186046512,0.3381209302325581,0.5351813953488372
