CSO_LEA,Census Year,very_bad,bad,fair,good,very_good,population,p_health_very_bad,p_health_bad,p_health_fair,p_health_good,p_health_very_good
STILLORGAN,2022,67,249,1935,8563,21148,31962,0.002096239284149928,0.007790501220198987,0.06054064201238971,0.2679118953757587,0.6616607221075027
SWINFORD,2022,73,316,2059,6034,9034,17516,0.004167618177666134,0.018040648549897238,0.11754966887417219,0.34448504224708837,0.515757022151176
SWORDS,2022,119,603,3512,14332,25611,44177,0.002693709396292188,0.013649636688774702,0.07949838151074089,0.324422210652602,0.5797360617515902
TALLAGHT CENTRAL,2022,161,748,3737,11528,16470,32644,0.004931993628231835,0.022913858595760322,0.1144773924764122,0.35314299718171793,0.5045337581178777
TALLAGHT SOUTH,2022,183,711,4064,12781,21919,39658,0.004614453578092693,0.017928286852589643,0.10247617126430984,0.32228049826012406,0.5527005900448838
THURLES,2022,73,279,2010,6204,10448,19014,0.0038392763227095826,0.014673398548437994,0.10571158094035973,0.326285894603976,0.5494898495845166
TRALEE,2022,136,617,3556,11011,16917,32237,0.004218754846915035,0.01913949809225424,0.11030803114433725,0.34156404131898127,0.5247696745975122
TRAMORE-WATERFORD CITY WEST,2022,94,362,2289,7246,12355,22346,0.004206569408395239,0.016199767296160388,0.10243444016826278,0.32426385035353084,0.5528953727736508
TRIM,2022,93,403,2606,9820,19172,32094,0.0028977378949336325,0.012556864211379073,0.08119897800211878,0.30597619492740075,0.5973702249641678
TUAM,2022,112,494,3111,11088,18887,33692,0.0033242312715184613,0.014662234358304643,0.09233645969369583,0.32909889588032765,0.5605781787961533
TULLAMORE,2022,106,525,2771,9352,16281,29035,0.0036507663165145513,0.0180816256242466,0.09543654210435681,0.3220940244532461,0.560737041501636
TULLOW,2022,66,331,1969,5895,10561,18822,0.0035065349059611095,0.017585803846562532,0.10461162469450642,0.31319732228243546,0.5610987142705345
WATERFORD CITY EAST,2022,70,299,2014,6904,13511,22798,0.0030704447758575313,0.013115185542591456,0.08834108255110097,0.3028335818931485,0.5926397052373015
WATERFORD CITY SOUTH,2022,111,521,2791,8091,11710,23224,0.004779538408542887,0.02243368928694454,0.12017740268687564,0.3483895969686531,0.5042197726489838
WESTPORT,2022,47,261,1755,6165,10800,19028,0.002470044145469834,0.01371662812697078,0.09223249947445869,0.32399621610258567,0.567584612150515
WEXFORD,2022,151,641,3294,9705,16287,30078,0.005020280603763548,0.02131125739743334,0.10951526032315978,0.32266108118890885,0.5414921204867345
WICKLOW,2022,100,398,2602,9651,18744,31495,0.0031751071598666455,0.01263692649626925,0.08261628829973011,0.30642959199872993,0.5951420860454041
