CSO_LEA,Census Year,No_formal_education,Primary_edu,Upper_secondary_edu,Advanced_cert_or_apprenticeship,Honours_bachelor,Postgraduate,population,p_edu_NoFormal,p_edu_Primary,p_edu_UpperSecondary,p_edu_Apprenticeship,p_edu_HonoursBachelor,p_edu_Postgraduate
CORCA DHUIBHNE,2022,215,777,1999,768,1310,1033,6102,0.03523434939364143,0.12733529990167158,0.3275975090134382,0.12586037364798427,0.2146837102589315,0.169288757784333
CORK CITY NORTH EAST,2022,661,2081,5769,2180,3636,3221,17548,0.037668110325963074,0.11858901299293367,0.3287554137223615,0.12423068155915204,0.20720310006838386,0.18355368133120584
CORK CITY NORTH WEST,2022,790,3082,5321,1920,2742,2371,16226,0.048687292000493036,0.18994206828546778,0.3279304819425613,0.11832860840626155,0.16898804388019228,0.14612350548502404
CORK CITY SOUTH CENTRAL,2022,444,1614,4073,1682,4192,3909,15914,0.027899962297348247,0.1014201332160362,0.2559381676511248,0.10569310041472917,0.2634158602488375,0.24563277617192408
CORK CITY SOUTH EAST,2022,364,1137,5084,1877,5732,5464,19658,0.018516634449079257,0.05783904771594262,0.2586224437887883,0.09548275511242242,0.29158612269813816,0.27795299623562925
CORK CITY SOUTH WEST,2022,477,1657,5583,2117,5739,4913,20486,0.02328419408376452,0.0808845064922386,0.2725275798106024,0.1033388655667285,0.28014253636629893,0.23982231768036708
DONAGHMEDE,2022,708,2871,6166,2514,3975,3336,19570,0.036177823198773634,0.14670413898824733,0.315074092999489,0.12846193152784874,0.20311701584057232,0.170464997445069
DONEGAL,2022,483,2293,3657,1639,1903,1440,11415,0.04231274638633377,0.2008760402978537,0.3203679369250986,0.14358300481822164,0.16671046868155937,0.12614980289093297
DROGHEDA RURAL,2022,299,817,2330,1082,1503,1105,7136,0.04190022421524664,0.11448991031390135,0.3265134529147982,0.1516255605381166,0.21062219730941703,0.1548486547085202
DROGHEDA URBAN,2022,675,2120,3517,1622,1823,1316,11073,0.06095908967759415,0.1914566964688883,0.3176194346608868,0.1464824347511966,0.16463469701074687,0.11884764743068725
DUNDALK SOUTH,2022,635,1746,4495,1837,3306,2267,14286,0.044449111017779645,0.12221755564888702,0.3146437071258575,0.12858742825143496,0.23141537169256615,0.15868682626347472
DUNDALK-CARLINGFORD,2022,680,1583,3173,1321,1783,1200,9740,0.06981519507186858,0.16252566735112936,0.3257700205338809,0.13562628336755647,0.18305954825462012,0.12320328542094455
DUNDRUM,2022,297,1157,3045,1155,4471,4869,14994,0.019807923169267706,0.07716419901293851,0.2030812324929972,0.07703081232492998,0.2981859410430839,0.3247298919567827
DUNGARVAN,2022,386,1226,2774,1400,1933,1479,9198,0.04196564470537073,0.13328984561861273,0.30158730158730157,0.15220700152207,0.2101543813872581,0.16079582517938681
DÚN LAOGHAIRE,2022,477,1335,4418,1641,6137,7711,21719,0.021962337124176987,0.061466918366407296,0.20341636355264975,0.0755559648234265,0.2825636539435517,0.35503476218978774
EDENDERRY,2022,453,1537,3509,1401,1348,891,9139,0.04956778640989167,0.16818032607506292,0.3839588576430682,0.15329904803589015,0.14749972644709486,0.09749425538899223
ENNIS,2022,406,1305,4336,1735,3094,2527,13403,0.030291725733044842,0.09736626128478698,0.3235096620159666,0.12944863090352907,0.23084384093113483,0.18853987913153772
ENNISCORTHY,2022,769,2090,4008,1730,1865,1142,11604,0.06627025163736643,0.18011030679076181,0.3453981385729059,0.1490865218890038,0.16072044122716306,0.09841433988279903
ENNISTIMON,2022,254,927,2356,908,1501,1286,7232,0.0351216814159292,0.12818030973451328,0.32577433628318586,0.12555309734513273,0.20754977876106195,0.17782079646017698
FERMOY,2022,612,2073,5055,2231,2971,2033,14975,0.04086811352253756,0.13843071786310518,0.3375626043405676,0.14898163606010018,0.1983973288814691,0.13575959933222037
FIRHOUSE-BOHERNABREENA,2022,322,1077,4377,1650,4253,3565,15244,0.0211230648123852,0.07065074783521386,0.2871293623720808,0.10823930726843348,0.27899501443190766,0.233862503279979
GALWAY CITY CENTRAL,2022,390,1016,2507,1145,3067,2792,10917,0.035724100027480075,0.09306586058440963,0.2296418429971604,0.10488229367042227,0.28093798662636255,0.2557479160941651
GALWAY CITY EAST,2022,367,874,3049,1499,2711,2226,10726,0.03421592392317733,0.08148424389334327,0.28426253962334513,0.13975386910311394,0.2527503263099012,0.20753309714711915
GALWAY CITY WEST,2022,173,411,2272,989,3067,3692,10604,0.016314598264805732,0.03875895888344021,0.2142587702753678,0.09326669181440966,0.28923047906450394,0.34817050169747266
GLENCULLEN-SANDYFORD,2022,290,995,4320,1691,6599,7065,20960,0.01383587786259542,0.047471374045801526,0.20610687022900764,0.08067748091603054,0.314837786259542,0.3370706106870229
GLENTIES,2022,708,2574,3101,1206,1637,1271,10497,0.06744784224064018,0.24521291797656472,0.295417738401448,0.11488996856244642,0.15594931885300561,0.12108221396589501
GOREY,2022,608,1623,4178,1844,2314,1601,12168,0.049967126890203814,0.1333826429980276,0.3433596318211703,0.15154503616042078,0.19017094017094016,0.13157462195923733
