"CSO_LEA","Census Year","p_age_12to17","p_age_18to54","p_age_55to64","p_age_65to70","p_age_71plus","Population"
"NEWPORT",2022,0.127577693871624,0.525704327621261,0.154371187917514,0.11167586407203,0.0806709265175719,13772
"NORTH INNER CITY",2022,0.0590592452319762,0.766654267550385,0.0908967942648451,0.0543419450831868,0.0290477478696064,59144
"ONGAR",2022,0.140250611246944,0.670507334963325,0.109596577017115,0.0611246943765281,0.018520782396088,32720
"PALMERSTOWN-FONTHILL",2022,0.113094899641781,0.532609313697618,0.156365497242281,0.126855063399102,0.0710752260192187,17587
"PEMBROKE",2022,0.0613039074577536,0.632603017218402,0.117357001972387,0.0947278639586332,0.0940082093928248,37518
"PILTOWN",2022,0.117240610721052,0.540566142873064,0.14270589546417,0.108436420372228,0.0910509305694862,17946
"PORTLAOISE",2022,0.123979324293955,0.593902164956177,0.131657802082553,0.0906434938946738,0.0598172147726421,26698
"PORTLAW-KILMACTHOMAS",2022,0.118479524167635,0.505776987762357,0.161482190469679,0.124290695289533,0.0899706023107951,14627
"RATHFARNHAM-TEMPLEOGUE",2022,0.0855762272695441,0.476668456313173,0.161908541282476,0.147995984966969,0.127850790167838,42839
"RATOATH",2022,0.121933357744416,0.583702273559469,0.143870044272827,0.0927399221064545,0.0577544023168337,30041
"ROSCOMMON",2022,0.10472819216182,0.497446270543616,0.155802781289507,0.130821744627054,0.111201011378003,19775
"ROSCREA-TEMPLEMORE",2022,0.109830408927392,0.512737684457823,0.155715439395052,0.123926290287057,0.0977901769326775,13621
"ROSSLARE",2022,0.110511705860787,0.493636411250196,0.166553187031897,0.131042790551511,0.0982559053056094,19093
"RUSH-LUSK",2022,0.13816880793625,0.599837371930395,0.134428362335339,0.0759147828915271,0.0516506749064889,30745
"SHANNON",2022,0.111336196418443,0.55096831699214,0.140142614050725,0.115387731950409,0.082165140588283,24682
"SKIBBEREEN-WEST CORK",2022,0.104265223479544,0.497483253226356,0.164402225333989,0.130189607538887,0.103659690421224,26423
"SLIGO-DRUMCLIFF",2022,0.109734984685045,0.494673058995872,0.163004394726328,0.138899986682647,0.0936875749101079,15018
"SLIGO-STRANDHILL",2022,0.0867087206728641,0.54653607791058,0.14630367419212,0.120849933598938,0.099601593625498,18072
"SOUTH EAST INNER CITY",2022,0.0584189497716895,0.726398401826484,0.105565068493151,0.0694349315068493,0.0401826484018265,35040
"SOUTH WEST INNER CITY",2022,0.0512892141799592,0.737380227393357,0.0987512920077101,0.0648657708746543,0.0477134955443194,35797
"STILLORGAN",2022,0.0934765314240255,0.526610978520286,0.147096260938743,0.118536197295147,0.114280031821798,25140
"SWINFORD",2022,0.0978399838503465,0.446807078931431,0.177982639122536,0.157526411412422,0.119843886683265,14861
"SWORDS",2022,0.104706378937371,0.638078404474226,0.130164090117659,0.0772700891679417,0.0497810373028017,37906
"TALLAGHT CENTRAL",2022,0.0837892112734575,0.563672875839623,0.113600166193477,0.146215636036286,0.0927221106571567,28882
"TALLAGHT SOUTH",2022,0.150080356039065,0.657343305723822,0.0970453702559031,0.0716095932748177,0.0239213747063914,32356
"THURLES",2022,0.109899749373434,0.490789473684211,0.159022556390977,0.13577694235589,0.104511278195489,15960
"TRALEE",2022,0.101499182580264,0.524435632543741,0.159031618491078,0.11969111969112,0.095342446693798,28749
"TRAMORE-WATERFORD CITY WEST",2022,0.107446327115491,0.549901955854995,0.152144401427925,0.109055256674544,0.0814520589270451,19889
"TRIM",2022,0.127118315430256,0.56047620894249,0.143793384263389,0.0982277891961066,0.0703843021677589,25787
"TUAM",2022,0.119932794737971,0.535532994923858,0.142703939372274,0.114427682848359,0.0874025881175377,27974
"TULLAMORE",2022,0.11469327176781,0.54254617414248,0.149488786279683,0.110075857519789,0.0831959102902375,24256
"TULLOW",2022,0.119668320874427,0.537470946667504,0.153527231610026,0.114328789496828,0.0750047113512155,15919
"WATERFORD CITY EAST",2022,0.11098705912205,0.516011164679016,0.158284699314895,0.114742451154529,0.0999746257295103,19705
"WATERFORD CITY SOUTH",2022,0.101529902642559,0.571776276574608,0.134313530697397,0.106050069541029,0.0863302205444069,20132
"WESTPORT",2022,0.0995449728853706,0.49841052172287,0.166053730599015,0.1408090756093,0.0951816991834445,16043
"WEXFORD",2022,0.0985594850257095,0.523688032342898,0.158103387368999,0.120029830827805,0.0996192644345881,25477
"WICKLOW",2022,0.117573188917667,0.557727022996625,0.145514480809984,0.104112707008869,0.075072600266855,25482
