Statistic Label,Census Year,Sex,General Health,CSO Local Electoral Areas 2022,UNIT,VALUE
General Health of Population,2022,Both Sexes,Good,"Cork City South East, Cork City",Number,12662
General Health of Population,2022,Both Sexes,Good,"Cork City South Central, Cork City",Number,12390
General Health of Population,2022,Both Sexes,Good,"Cork City South West, Cork City",Number,14828
General Health of Population,2022,Both Sexes,Good,"Glenties, Donegal",Number,7603
General Health of Population,2022,Both Sexes,Good,"Milford, Donegal",Number,4520
General Health of Population,2022,Both Sexes,Good,"Carndonagh, Donegal",Number,5646
General Health of Population,2022,Both Sexes,Good,"Buncrana, Donegal",Number,6762
General Health of Population,2022,Both Sexes,Good,"Donegal, Donegal",Number,9087
General Health of Population,2022,Both Sexes,Good,"Letterkenny, Donegal",Number,9635
General Health of Population,2022,Both Sexes,Good,"Lifford-Stranorlar, Donegal",Number,8585
General Health of Population,2022,Both Sexes,Good,"Conamara North, Galway County",Number,5870
General Health of Population,2022,Both Sexes,Good,"Tuam, Galway County",Number,11088
General Health of Population,2022,Both Sexes,Good,"Ballinasloe, Galway County",Number,9349
General Health of Population,2022,Both Sexes,Good,"Loughrea, Galway County",Number,7698
General Health of Population,2022,Both Sexes,Good,"Athenry-Oranmore, Galway County",Number,10309
General Health of Population,2022,Both Sexes,Good,"Gort-Kinvara, Galway County",Number,7409
General Health of Population,2022,Both Sexes,Good,"Conamara South, Galway County",Number,6475
General Health of Population,2022,Both Sexes,Good,"Galway City West, Galway City",Number,7485
General Health of Population,2022,Both Sexes,Good,"Galway City Central, Galway City",Number,8822
General Health of Population,2022,Both Sexes,Good,"Galway City East, Galway City",Number,8928
General Health of Population,2022,Both Sexes,Good,"Listowel, Kerry",Number,9795
General Health of Population,2022,Both Sexes,Good,"Castleisland, Kerry",Number,5724
General Health of Population,2022,Both Sexes,Good,"Killarney, Kerry",Number,9714
General Health of Population,2022,Both Sexes,Good,"Kenmare, Kerry",Number,8669
General Health of Population,2022,Both Sexes,Good,"Corca Dhuibhne, Kerry",Number,4758
General Health of Population,2022,Both Sexes,Good,"Tralee, Kerry",Number,11011
General Health of Population,2022,Both Sexes,Good,"Maynooth, Kildare",Number,9431
General Health of Population,2022,Both Sexes,Good,"Celbridge, Kildare",Number,6857
General Health of Population,2022,Both Sexes,Good,"Naas, Kildare",Number,13290
General Health of Population,2022,Both Sexes,Good,"Athy, Kildare",Number,8576
General Health of Population,2022,Both Sexes,Good,"Kildare, Kildare",Number,8904
General Health of Population,2022,Both Sexes,Good,"Clane, Kildare",Number,9395
General Health of Population,2022,Both Sexes,Good,"Leixlip, Kildare",Number,4960
General Health of Population,2022,Both Sexes,Good,"Newbridge, Kildare",Number,11030
General Health of Population,2022,Both Sexes,Good,"Castlecomer, Kilkenny",Number,7481
General Health of Population,2022,Both Sexes,Good,"Kilkenny, Kilkenny",Number,9046
General Health of Population,2022,Both Sexes,Good,"Piltown, Kilkenny",Number,6821
General Health of Population,2022,Both Sexes,Good,"Callan-Thomastown, Kilkenny",Number,7900
General Health of Population,2022,Both Sexes,Good,Ireland,Number,1527027
General Health of Population,2022,Both Sexes,Fair,"Borris-In-Ossory-Mountmellick, Laois",Number,2518
General Health of Population,2022,Both Sexes,Fair,"Portlaoise, Laois",Number,3012
General Health of Population,2022,Both Sexes,Fair,"Graiguecullen -Portarlington, Laois",Number,2573
General Health of Population,2022,Both Sexes,Fair,"Carlow, Carlow",Number,2588
General Health of Population,2022,Both Sexes,Fair,"Tullow, Carlow",Number,1969
General Health of Population,2022,Both Sexes,Fair,"Muinebeag, Carlow",Number,1550
General Health of Population,2022,Both Sexes,Fair,"Manorhamilton, Leitrim",Number,1226
General Health of Population,2022,Both Sexes,Fair,"Ballinamore, Leitrim",Number,1098
General Health of Population,2022,Both Sexes,Fair,"Carrick-On-Shannon, Leitrim",Number,1313
General Health of Population,2022,Both Sexes,Fair,"Newcastle West, Limerick",Number,2743
General Health of Population,2022,Both Sexes,Fair,"Adare-Rathkeale, Limerick",Number,2540
General Health of Population,2022,Both Sexes,Fair,"Cappamore-Kilmallock, Limerick",Number,3439
General Health of Population,2022,Both Sexes,Fair,"Limerick City West, Limerick",Number,3236
General Health of Population,2022,Both Sexes,Fair,"Limerick City North, Limerick",Number,3902
General Health of Population,2022,Both Sexes,Fair,"Limerick City East, Limerick",Number,3301
General Health of Population,2022,Both Sexes,Fair,"Granard, Longford",Number,1075
General Health of Population,2022,Both Sexes,Fair,"Ballymahon, Longford",Number,1556
General Health of Population,2022,Both Sexes,Fair,"Longford, Longford",Number,1897
General Health of Population,2022,Both Sexes,Fair,"Dundalk-Carlingford, Louth",Number,2559
General Health of Population,2022,Both Sexes,Fair,"Dundalk South, Louth",Number,3462
General Health of Population,2022,Both Sexes,Fair,"Ardee, Louth",Number,2459
General Health of Population,2022,Both Sexes,Fair,"Drogheda Rural, Louth",Number,1648
General Health of Population,2022,Both Sexes,Fair,"Drogheda Urban, Louth",Number,3162
General Health of Population,2022,Both Sexes,Fair,"Ballina, Mayo",Number,2763
General Health of Population,2022,Both Sexes,Fair,"Claremorris, Mayo",Number,2763
General Health of Population,2022,Both Sexes,Fair,"Castlebar, Mayo",Number,2870
General Health of Population,2022,Both Sexes,Fair,"Belmullet, Mayo",Number,1817
General Health of Population,2022,Both Sexes,Fair,"Westport, Mayo",Number,1755
General Health of Population,2022,Both Sexes,Fair,"Swinford, Mayo",Number,2059
General Health of Population,2022,Both Sexes,Fair,"Kells, Meath",Number,3037
General Health of Population,2022,Both Sexes,Fair,"Laytown-Bettystown, Meath",Number,3079
General Health of Population,2022,Both Sexes,Fair,"Ashbourne, Meath",Number,2362
General Health of Population,2022,Both Sexes,Fair,"Ratoath, Meath",Number,2379
General Health of Population,2022,Both Sexes,Fair,"Trim, Meath",Number,2606
General Health of Population,2022,Both Sexes,Fair,"Navan, Meath",Number,3223
General Health of Population,2022,Both Sexes,Fair,"Monaghan, Monaghan",Number,2041
General Health of Population,2022,Both Sexes,Fair,"Carrickmacross-Castleblayney, Monaghan",Number,2079
General Health of Population,2022,Both Sexes,Fair,"Ballybay-Clones, Monaghan",Number,1658
General Health of Population,2022,Both Sexes,Fair,"Birr, Offaly",Number,2602
General Health of Population,2022,Both Sexes,Fair,"Tullamore, Offaly",Number,2771
General Health of Population,2022,Both Sexes,Fair,"Edenderry, Offaly",Number,2413
General Health of Population,2022,Both Sexes,Fair,"Boyle, Roscommon",Number,2664
General Health of Population,2022,Both Sexes,Fair,"Roscommon, Roscommon",Number,2490
General Health of Population,2022,Both Sexes,Fair,"Athlone, Roscommon",Number,1666
General Health of Population,2022,Both Sexes,Fair,"Ballymote-Tobercurry, Sligo",Number,2836
General Health of Population,2022,Both Sexes,Fair,"Sligo-Drumcliff, Sligo",Number,1456
General Health of Population,2022,Both Sexes,Fair,"Sligo-Strandhill, Sligo",Number,2478
General Health of Population,2022,Both Sexes,Fair,"Cavan-Belturbet, Cavan",Number,2723
General Health of Population,2022,Both Sexes,Fair,"Bailieborough-Cootehill, Cavan",Number,2073
General Health of Population,2022,Both Sexes,Fair,"Ballyjamesduff, Cavan",Number,2467
General Health of Population,2022,Both Sexes,Fair,"Nenagh, Tipperary",Number,2241
General Health of Population,2022,Both Sexes,Fair,"Roscrea-Templemore, Tipperary",Number,1698
General Health of Population,2022,Both Sexes,Fair,"Carrick-On-Suir, Tipperary",Number,2097
General Health of Population,2022,Both Sexes,Fair,"Clonmel, Tipperary",Number,2454
General Health of Population,2022,Both Sexes,Fair,"Cashel-Tipperary, Tipperary",Number,2873
General Health of Population,2022,Both Sexes,Fair,"Newport, Tipperary",Number,1413
General Health of Population,2022,Both Sexes,Fair,"Thurles, Tipperary",Number,2010
General Health of Population,2022,Both Sexes,Fair,"Cahir, Tipperary",Number,1369
General Health of Population,2022,Both Sexes,Fair,"Dungarvan, Waterford",Number,2048
General Health of Population,2022,Both Sexes,Fair,"Portlaw-Kilmacthomas, Waterford",Number,1514
General Health of Population,2022,Both Sexes,Fair,"Lismore, Waterford",Number,987
General Health of Population,2022,Both Sexes,Fair,"Tramore-Waterford City West, Waterford",Number,2289
General Health of Population,2022,Both Sexes,Fair,"Waterford City South, Waterford",Number,2791
General Health of Population,2022,Both Sexes,Fair,"Waterford City East, Waterford",Number,2014
General Health of Population,2022,Both Sexes,Fair,"Athlone, Westmeath",Number,2197
General Health of Population,2022,Both Sexes,Fair,"Moate, Westmeath",Number,1702
General Health of Population,2022,Both Sexes,Fair,"Kinnegad, Westmeath",Number,2098
General Health of Population,2022,Both Sexes,Fair,"Mullingar, Westmeath",Number,2482
General Health of Population,2022,Both Sexes,Fair,"Gorey, Wexford",Number,2887
General Health of Population,2022,Both Sexes,Fair,"Kilmuckridge, Wexford",Number,1726
General Health of Population,2022,Both Sexes,Fair,"New Ross, Wexford",Number,2869
General Health of Population,2022,Both Sexes,Fair,"Rosslare, Wexford",Number,2203
General Health of Population,2022,Both Sexes,Fair,"Wexford, Wexford",Number,3294
General Health of Population,2022,Both Sexes,Fair,"Enniscorthy, Wexford",Number,3000
General Health of Population,2022,Both Sexes,Fair,"Baltinglass, Wicklow",Number,2314
General Health of Population,2022,Both Sexes,Fair,"Bray West, Wicklow",Number,1551
General Health of Population,2022,Both Sexes,Fair,"Greystones, Wicklow",Number,2006
General Health of Population,2022,Both Sexes,Fair,"Wicklow, Wicklow",Number,2602
General Health of Population,2022,Both Sexes,Fair,"Arklow, Wicklow",Number,2560
General Health of Population,2022,Both Sexes,Fair,"Bray East, Wicklow",Number,1795
General Health of Population,2022,Both Sexes,Fair,"Rush-Lusk, Fingal",Number,2907
General Health of Population,2022,Both Sexes,Fair,"Swords, Fingal",Number,3512
General Health of Population,2022,Both Sexes,Fair,"Blanchardstown-Mulhuddart, Fingal",Number,2796
General Health of Population,2022,Both Sexes,Fair,"Castleknock, Fingal",Number,3253
General Health of Population,2022,Both Sexes,Fair,"Howth-Malahide, Fingal",Number,4855
General Health of Population,2022,Both Sexes,Fair,"Stillorgan, Dún Laoghaire-Rathdown",Number,1935
General Health of Population,2022,Both Sexes,Fair,"Dundrum, Dún Laoghaire-Rathdown",Number,2464
General Health of Population,2022,Both Sexes,Fair,"Glencullen-Sandyford, Dún Laoghaire-Rathdown",Number,2997
General Health of Population,2022,Both Sexes,Fair,"Killiney-Shankill, Dún Laoghaire-Rathdown",Number,3243
General Health of Population,2022,Both Sexes,Fair,"Dún Laoghaire, Dún Laoghaire-Rathdown",Number,3814
General Health of Population,2022,Both Sexes,Fair,"Blackrock, Dún Laoghaire-Rathdown",Number,2256
General Health of Population,2022,Both Sexes,Fair,"Lucan, South Dublin",Number,3471
General Health of Population,2022,Both Sexes,Fair,"Tallaght Central, South Dublin",Number,3737
General Health of Population,2022,Both Sexes,Fair,"Rathfarnham-Templeogue, South Dublin",Number,4213
General Health of Population,2022,Both Sexes,Fair,"Firhouse-Bohernabreena, South Dublin",Number,2530
General Health of Population,2022,Both Sexes,Fair,"Tallaght South, South Dublin",Number,4064
General Health of Population,2022,Both Sexes,Fair,"Clondalkin, South Dublin",Number,4625
General Health of Population,2022,Both Sexes,Fair,"Balbriggan, Fingal",Number,3396
General Health of Population,2022,Both Sexes,Fair,"Ongar, Fingal",Number,2940
General Health of Population,2022,Both Sexes,Fair,"Palmerstown-Fonthill, South Dublin",Number,2311
General Health of Population,2022,Both Sexes,Fair,"Ballymun-Finglas, Dublin City",Number,5852
General Health of Population,2022,Both Sexes,Fair,"Cabra-Glasnevin, Dublin City",Number,5281
General Health of Population,2022,Both Sexes,Fair,"Ballyfermot-Drimnagh, Dublin City",Number,5266
General Health of Population,2022,Both Sexes,Fair,"Kimmage-Rathmines, Dublin City",Number,5200
General Health of Population,2022,Both Sexes,Fair,"Pembroke, Dublin City",Number,2638
General Health of Population,2022,Both Sexes,Fair,"South East Inner City, Dublin City",Number,2990
General Health of Population,2022,Both Sexes,Fair,"North Inner City, Dublin City",Number,5400
General Health of Population,2022,Both Sexes,Fair,"Clontarf, Dublin City",Number,4617
General Health of Population,2022,Both Sexes,Fair,"Donaghmede, Dublin City",Number,4371
General Health of Population,2022,Both Sexes,Fair,"Artane-Whitehall, Dublin City",Number,5627
General Health of Population,2022,Both Sexes,Fair,"South West Inner City, Dublin City",Number,3696
General Health of Population,2022,Both Sexes,Fair,"Ennistimon, Clare",Number,1603
General Health of Population,2022,Both Sexes,Fair,"Killaloe, Clare",Number,1640
General Health of Population,2022,Both Sexes,Fair,"Shannon, Clare",Number,2822
General Health of Population,2022,Both Sexes,Fair,"Ennis, Clare",Number,3181
General Health of Population,2022,Both Sexes,Fair,"Kilrush, Clare",Number,2317
General Health of Population,2022,Both Sexes,Fair,"Kanturk, Cork County",Number,2301
General Health of Population,2022,Both Sexes,Fair,"Fermoy, Cork County",Number,3207
General Health of Population,2022,Both Sexes,Fair,"Midleton, Cork County",Number,3918
General Health of Population,2022,Both Sexes,Fair,"Carrigaline, Cork County",Number,2495
General Health of Population,2022,Both Sexes,Fair,"Cobh, Cork County",Number,2784
General Health of Population,2022,Both Sexes,Fair,"Bandon-Kinsale, Cork County",Number,2829
General Health of Population,2022,Both Sexes,Fair,"Bantry-West Cork, Cork County",Number,2381
General Health of Population,2022,Both Sexes,Fair,"Skibbereen-West Cork, Cork County",Number,2789
General Health of Population,2022,Both Sexes,Fair,"Macroom, Cork County",Number,2594
General Health of Population,2022,Both Sexes,Fair,"Mallow, Cork County",Number,2726
General Health of Population,2022,Both Sexes,Fair,"Cork City North West, Cork City",Number,4507
General Health of Population,2022,Both Sexes,Fair,"Cork City North East, Cork City",Number,3862
General Health of Population,2022,Both Sexes,Fair,"Cork City South East, Cork City",Number,3553
General Health of Population,2022,Both Sexes,Fair,"Cork City South Central, Cork City",Number,3796
General Health of Population,2022,Both Sexes,Fair,"Cork City South West, Cork City",Number,4187
General Health of Population,2022,Both Sexes,Fair,"Glenties, Donegal",Number,3192
General Health of Population,2022,Both Sexes,Fair,"Milford, Donegal",Number,1333
General Health of Population,2022,Both Sexes,Fair,"Carndonagh, Donegal",Number,1842
General Health of Population,2022,Both Sexes,Fair,"Buncrana, Donegal",Number,2306
General Health of Population,2022,Both Sexes,Fair,"Donegal, Donegal",Number,2907
General Health of Population,2022,Both Sexes,Fair,"Letterkenny, Donegal",Number,3001
General Health of Population,2022,Both Sexes,Fair,"Lifford-Stranorlar, Donegal",Number,3070
General Health of Population,2022,Both Sexes,Fair,"Conamara North, Galway County",Number,1955
General Health of Population,2022,Both Sexes,Fair,"Tuam, Galway County",Number,3111
General Health of Population,2022,Both Sexes,Fair,"Ballinasloe, Galway County",Number,2894
General Health of Population,2022,Both Sexes,Fair,"Loughrea, Galway County",Number,2324
General Health of Population,2022,Both Sexes,Fair,"Athenry-Oranmore, Galway County",Number,2577
General Health of Population,2022,Both Sexes,Fair,"Gort-Kinvara, Galway County",Number,1898
General Health of Population,2022,Both Sexes,Fair,"Conamara South, Galway County",Number,2060
General Health of Population,2022,Both Sexes,Fair,"Galway City West, Galway City",Number,1976
General Health of Population,2022,Both Sexes,Fair,"Galway City Central, Galway City",Number,2641
General Health of Population,2022,Both Sexes,Fair,"Galway City East, Galway City",Number,2594
General Health of Population,2022,Both Sexes,Fair,"Listowel, Kerry",Number,2943
General Health of Population,2022,Both Sexes,Fair,"Castleisland, Kerry",Number,1565
General Health of Population,2022,Both Sexes,Fair,"Killarney, Kerry",Number,2484
General Health of Population,2022,Both Sexes,Fair,"Kenmare, Kerry",Number,2500
General Health of Population,2022,Both Sexes,Fair,"Corca Dhuibhne, Kerry",Number,1335
General Health of Population,2022,Both Sexes,Fair,"Tralee, Kerry",Number,3556
General Health of Population,2022,Both Sexes,Fair,"Maynooth, Kildare",Number,2235
General Health of Population,2022,Both Sexes,Fair,"Celbridge, Kildare",Number,1709
General Health of Population,2022,Both Sexes,Fair,"Naas, Kildare",Number,3132
General Health of Population,2022,Both Sexes,Fair,"Athy, Kildare",Number,2700
General Health of Population,2022,Both Sexes,Fair,"Kildare, Kildare",Number,2541
General Health of Population,2022,Both Sexes,Fair,"Clane, Kildare",Number,2484
General Health of Population,2022,Both Sexes,Fair,"Leixlip, Kildare",Number,1329
General Health of Population,2022,Both Sexes,Fair,"Newbridge, Kildare",Number,3028
General Health of Population,2022,Both Sexes,Fair,"Castlecomer, Kilkenny",Number,2089
General Health of Population,2022,Both Sexes,Fair,"Kilkenny, Kilkenny",Number,2701
General Health of Population,2022,Both Sexes,Fair,"Piltown, Kilkenny",Number,1912
General Health of Population,2022,Both Sexes,Fair,"Callan-Thomastown, Kilkenny",Number,2182
General Health of Population,2022,Both Sexes,Fair,Ireland,Number,444895
General Health of Population,2022,Both Sexes,Bad,"Borris-In-Ossory-Mountmellick, Laois",Number,417
General Health of Population,2022,Both Sexes,Bad,"Portlaoise, Laois",Number,539
General Health of Population,2022,Both Sexes,Bad,"Graiguecullen -Portarlington, Laois",Number,420
General Health of Population,2022,Both Sexes,Bad,"Carlow, Carlow",Number,486
General Health of Population,2022,Both Sexes,Bad,"Tullow, Carlow",Number,331
General Health of Population,2022,Both Sexes,Bad,"Muinebeag, Carlow",Number,220
General Health of Population,2022,Both Sexes,Bad,"Manorhamilton, Leitrim",Number,188
General Health of Population,2022,Both Sexes,Bad,"Ballinamore, Leitrim",Number,177
General Health of Population,2022,Both Sexes,Bad,"Carrick-On-Shannon, Leitrim",Number,218
General Health of Population,2022,Both Sexes,Bad,"Newcastle West, Limerick",Number,370
General Health of Population,2022,Both Sexes,Bad,"Adare-Rathkeale, Limerick",Number,421
General Health of Population,2022,Both Sexes,Bad,"Cappamore-Kilmallock, Limerick",Number,508
General Health of Population,2022,Both Sexes,Bad,"Limerick City West, Limerick",Number,626
General Health of Population,2022,Both Sexes,Bad,"Limerick City North, Limerick",Number,772
General Health of Population,2022,Both Sexes,Bad,"Limerick City East, Limerick",Number,606
General Health of Population,2022,Both Sexes,Bad,"Granard, Longford",Number,167
General Health of Population,2022,Both Sexes,Bad,"Ballymahon, Longford",Number,244
General Health of Population,2022,Both Sexes,Bad,"Longford, Longford",Number,362
General Health of Population,2022,Both Sexes,Bad,"Dundalk-Carlingford, Louth",Number,487
General Health of Population,2022,Both Sexes,Bad,"Dundalk South, Louth",Number,526
General Health of Population,2022,Both Sexes,Bad,"Ardee, Louth",Number,346
General Health of Population,2022,Both Sexes,Bad,"Drogheda Rural, Louth",Number,251
General Health of Population,2022,Both Sexes,Bad,"Drogheda Urban, Louth",Number,616
General Health of Population,2022,Both Sexes,Bad,"Ballina, Mayo",Number,435
General Health of Population,2022,Both Sexes,Bad,"Claremorris, Mayo",Number,387
General Health of Population,2022,Both Sexes,Bad,"Castlebar, Mayo",Number,487
General Health of Population,2022,Both Sexes,Bad,"Belmullet, Mayo",Number,271
General Health of Population,2022,Both Sexes,Bad,"Westport, Mayo",Number,261
General Health of Population,2022,Both Sexes,Bad,"Swinford, Mayo",Number,316
General Health of Population,2022,Both Sexes,Bad,"Kells, Meath",Number,459
General Health of Population,2022,Both Sexes,Bad,"Laytown-Bettystown, Meath",Number,509
General Health of Population,2022,Both Sexes,Bad,"Ashbourne, Meath",Number,352
General Health of Population,2022,Both Sexes,Bad,"Ratoath, Meath",Number,342
General Health of Population,2022,Both Sexes,Bad,"Trim, Meath",Number,403
General Health of Population,2022,Both Sexes,Bad,"Navan, Meath",Number,514
General Health of Population,2022,Both Sexes,Bad,"Monaghan, Monaghan",Number,274
General Health of Population,2022,Both Sexes,Bad,"Carrickmacross-Castleblayney, Monaghan",Number,322
General Health of Population,2022,Both Sexes,Bad,"Ballybay-Clones, Monaghan",Number,215
General Health of Population,2022,Both Sexes,Bad,"Birr, Offaly",Number,452
General Health of Population,2022,Both Sexes,Bad,"Tullamore, Offaly",Number,525
General Health of Population,2022,Both Sexes,Bad,"Edenderry, Offaly",Number,440
General Health of Population,2022,Both Sexes,Bad,"Boyle, Roscommon",Number,428
General Health of Population,2022,Both Sexes,Bad,"Roscommon, Roscommon",Number,418
General Health of Population,2022,Both Sexes,Bad,"Athlone, Roscommon",Number,250
General Health of Population,2022,Both Sexes,Bad,"Ballymote-Tobercurry, Sligo",Number,387
General Health of Population,2022,Both Sexes,Bad,"Sligo-Drumcliff, Sligo",Number,203
General Health of Population,2022,Both Sexes,Bad,"Sligo-Strandhill, Sligo",Number,451
General Health of Population,2022,Both Sexes,Bad,"Cavan-Belturbet, Cavan",Number,406
General Health of Population,2022,Both Sexes,Bad,"Bailieborough-Cootehill, Cavan",Number,353
General Health of Population,2022,Both Sexes,Bad,"Ballyjamesduff, Cavan",Number,361
General Health of Population,2022,Both Sexes,Bad,"Nenagh, Tipperary",Number,346
General Health of Population,2022,Both Sexes,Bad,"Roscrea-Templemore, Tipperary",Number,267
General Health of Population,2022,Both Sexes,Bad,"Carrick-On-Suir, Tipperary",Number,391
General Health of Population,2022,Both Sexes,Bad,"Clonmel, Tipperary",Number,411
General Health of Population,2022,Both Sexes,Bad,"Cashel-Tipperary, Tipperary",Number,478
General Health of Population,2022,Both Sexes,Bad,"Newport, Tipperary",Number,248
General Health of Population,2022,Both Sexes,Bad,"Thurles, Tipperary",Number,279
General Health of Population,2022,Both Sexes,Bad,"Cahir, Tipperary",Number,197
General Health of Population,2022,Both Sexes,Bad,"Dungarvan, Waterford",Number,318
General Health of Population,2022,Both Sexes,Bad,"Portlaw-Kilmacthomas, Waterford",Number,216
General Health of Population,2022,Both Sexes,Bad,"Lismore, Waterford",Number,133
General Health of Population,2022,Both Sexes,Bad,"Tramore-Waterford City West, Waterford",Number,362
General Health of Population,2022,Both Sexes,Bad,"Waterford City South, Waterford",Number,521
General Health of Population,2022,Both Sexes,Bad,"Waterford City East, Waterford",Number,299
General Health of Population,2022,Both Sexes,Bad,"Athlone, Westmeath",Number,368
General Health of Population,2022,Both Sexes,Bad,"Moate, Westmeath",Number,239
General Health of Population,2022,Both Sexes,Bad,"Kinnegad, Westmeath",Number,330
General Health of Population,2022,Both Sexes,Bad,"Mullingar, Westmeath",Number,387
General Health of Population,2022,Both Sexes,Bad,"Gorey, Wexford",Number,495
General Health of Population,2022,Both Sexes,Bad,"Kilmuckridge, Wexford",Number,264
General Health of Population,2022,Both Sexes,Bad,"New Ross, Wexford",Number,464
General Health of Population,2022,Both Sexes,Bad,"Rosslare, Wexford",Number,368
General Health of Population,2022,Both Sexes,Bad,"Wexford, Wexford",Number,641
General Health of Population,2022,Both Sexes,Bad,"Enniscorthy, Wexford",Number,481
General Health of Population,2022,Both Sexes,Bad,"Baltinglass, Wicklow",Number,376
General Health of Population,2022,Both Sexes,Bad,"Bray West, Wicklow",Number,234
General Health of Population,2022,Both Sexes,Bad,"Greystones, Wicklow",Number,354
General Health of Population,2022,Both Sexes,Bad,"Wicklow, Wicklow",Number,398
General Health of Population,2022,Both Sexes,Bad,"Arklow, Wicklow",Number,438
General Health of Population,2022,Both Sexes,Bad,"Bray East, Wicklow",Number,286
General Health of Population,2022,Both Sexes,Bad,"Rush-Lusk, Fingal",Number,457
General Health of Population,2022,Both Sexes,Bad,"Swords, Fingal",Number,603
General Health of Population,2022,Both Sexes,Bad,"Blanchardstown-Mulhuddart, Fingal",Number,488
General Health of Population,2022,Both Sexes,Bad,"Castleknock, Fingal",Number,532
General Health of Population,2022,Both Sexes,Bad,"Howth-Malahide, Fingal",Number,717
General Health of Population,2022,Both Sexes,Bad,"Stillorgan, Dún Laoghaire-Rathdown",Number,249
General Health of Population,2022,Both Sexes,Bad,"Dundrum, Dún Laoghaire-Rathdown",Number,408
General Health of Population,2022,Both Sexes,Bad,"Glencullen-Sandyford, Dún Laoghaire-Rathdown",Number,455
General Health of Population,2022,Both Sexes,Bad,"Killiney-Shankill, Dún Laoghaire-Rathdown",Number,513
General Health of Population,2022,Both Sexes,Bad,"Dún Laoghaire, Dún Laoghaire-Rathdown",Number,596
General Health of Population,2022,Both Sexes,Bad,"Blackrock, Dún Laoghaire-Rathdown",Number,324
General Health of Population,2022,Both Sexes,Bad,"Lucan, South Dublin",Number,580
General Health of Population,2022,Both Sexes,Bad,"Tallaght Central, South Dublin",Number,748
General Health of Population,2022,Both Sexes,Bad,"Rathfarnham-Templeogue, South Dublin",Number,648
General Health of Population,2022,Both Sexes,Bad,"Firhouse-Bohernabreena, South Dublin",Number,398
General Health of Population,2022,Both Sexes,Bad,"Tallaght South, South Dublin",Number,711
General Health of Population,2022,Both Sexes,Bad,"Clondalkin, South Dublin",Number,791
General Health of Population,2022,Both Sexes,Bad,"Balbriggan, Fingal",Number,621
General Health of Population,2022,Both Sexes,Bad,"Ongar, Fingal",Number,439
General Health of Population,2022,Both Sexes,Bad,"Palmerstown-Fonthill, South Dublin",Number,493
General Health of Population,2022,Both Sexes,Bad,"Ballymun-Finglas, Dublin City",Number,1246
General Health of Population,2022,Both Sexes,Bad,"Cabra-Glasnevin, Dublin City",Number,989
General Health of Population,2022,Both Sexes,Bad,"Ballyfermot-Drimnagh, Dublin City",Number,1053
General Health of Population,2022,Both Sexes,Bad,"Kimmage-Rathmines, Dublin City",Number,903
General Health of Population,2022,Both Sexes,Bad,"Pembroke, Dublin City",Number,436
General Health of Population,2022,Both Sexes,Bad,"South East Inner City, Dublin City",Number,549
General Health of Population,2022,Both Sexes,Bad,"North Inner City, Dublin City",Number,1163
General Health of Population,2022,Both Sexes,Bad,"Clontarf, Dublin City",Number,749
General Health of Population,2022,Both Sexes,Bad,"Donaghmede, Dublin City",Number,754
General Health of Population,2022,Both Sexes,Bad,"Artane-Whitehall, Dublin City",Number,1049
General Health of Population,2022,Both Sexes,Bad,"South West Inner City, Dublin City",Number,777
General Health of Population,2022,Both Sexes,Bad,"Ennistimon, Clare",Number,218
General Health of Population,2022,Both Sexes,Bad,"Killaloe, Clare",Number,238
General Health of Population,2022,Both Sexes,Bad,"Shannon, Clare",Number,497
General Health of Population,2022,Both Sexes,Bad,"Ennis, Clare",Number,531
General Health of Population,2022,Both Sexes,Bad,"Kilrush, Clare",Number,354
General Health of Population,2022,Both Sexes,Bad,"Kanturk, Cork County",Number,352
General Health of Population,2022,Both Sexes,Bad,"Fermoy, Cork County",Number,490
General Health of Population,2022,Both Sexes,Bad,"Midleton, Cork County",Number,547
General Health of Population,2022,Both Sexes,Bad,"Carrigaline, Cork County",Number,376
General Health of Population,2022,Both Sexes,Bad,"Cobh, Cork County",Number,421
General Health of Population,2022,Both Sexes,Bad,"Bandon-Kinsale, Cork County",Number,431
General Health of Population,2022,Both Sexes,Bad,"Bantry-West Cork, Cork County",Number,327
General Health of Population,2022,Both Sexes,Bad,"Skibbereen-West Cork, Cork County",Number,393
General Health of Population,2022,Both Sexes,Bad,"Macroom, Cork County",Number,340
General Health of Population,2022,Both Sexes,Bad,"Mallow, Cork County",Number,391
General Health of Population,2022,Both Sexes,Bad,"Cork City North West, Cork City",Number,821
General Health of Population,2022,Both Sexes,Bad,"Cork City North East, Cork City",Number,705
General Health of Population,2022,Both Sexes,Bad,"Cork City South East, Cork City",Number,535
General Health of Population,2022,Both Sexes,Bad,"Cork City South Central, Cork City",Number,635
General Health of Population,2022,Both Sexes,Bad,"Cork City South West, Cork City",Number,672
General Health of Population,2022,Both Sexes,Bad,"Glenties, Donegal",Number,475
General Health of Population,2022,Both Sexes,Bad,"Milford, Donegal",Number,180
General Health of Population,2022,Both Sexes,Bad,"Carndonagh, Donegal",Number,289
General Health of Population,2022,Both Sexes,Bad,"Buncrana, Donegal",Number,333
General Health of Population,2022,Both Sexes,Bad,"Donegal, Donegal",Number,411
General Health of Population,2022,Both Sexes,Bad,"Letterkenny, Donegal",Number,508
General Health of Population,2022,Both Sexes,Bad,"Lifford-Stranorlar, Donegal",Number,501
General Health of Population,2022,Both Sexes,Bad,"Conamara North, Galway County",Number,255
