Statistic Label,Census Year,Sex,General Health,CSO Local Electoral Areas 2022,UNIT,VALUE
General Health of Population,2022,Males,Good,"Ballymote-Tobercurry, Sligo",Number,4406
General Health of Population,2022,Males,Good,"Sligo-Drumcliff, Sligo",Number,2629
General Health of Population,2022,Males,Good,"Sligo-Strandhill, Sligo",Number,3302
General Health of Population,2022,Males,Good,"Cavan-Belturbet, Cavan",Number,4140
General Health of Population,2022,Males,Good,"Bailieborough-Cootehill, Cavan",Number,3647
General Health of Population,2022,Males,Good,"Ballyjamesduff, Cavan",Number,4264
General Health of Population,2022,Males,Good,"Nenagh, Tipperary",Number,3625
General Health of Population,2022,Males,Good,"Roscrea-Templemore, Tipperary",Number,2719
General Health of Population,2022,Males,Good,"Carrick-On-Suir, Tipperary",Number,2989
General Health of Population,2022,Males,Good,"Clonmel, Tipperary",Number,3807
General Health of Population,2022,Males,Good,"Cashel-Tipperary, Tipperary",Number,4572
General Health of Population,2022,Males,Good,"Newport, Tipperary",Number,2498
General Health of Population,2022,Males,Good,"Thurles, Tipperary",Number,3020
General Health of Population,2022,Males,Good,"Cahir, Tipperary",Number,2511
General Health of Population,2022,Males,Good,"Dungarvan, Waterford",Number,3374
General Health of Population,2022,Males,Good,"Portlaw-Kilmacthomas, Waterford",Number,2785
General Health of Population,2022,Males,Good,"Lismore, Waterford",Number,1857
General Health of Population,2022,Males,Good,"Tramore-Waterford City West, Waterford",Number,3566
General Health of Population,2022,Males,Good,"Waterford City South, Waterford",Number,3875
General Health of Population,2022,Males,Good,"Waterford City East, Waterford",Number,3308
General Health of Population,2022,Males,Good,"Athlone, Westmeath",Number,3674
General Health of Population,2022,Males,Good,"Moate, Westmeath",Number,3051
General Health of Population,2022,Males,Good,"Kinnegad, Westmeath",Number,3577
General Health of Population,2022,Males,Good,"Mullingar, Westmeath",Number,4056
General Health of Population,2022,Males,Good,"Gorey, Wexford",Number,4529
General Health of Population,2022,Males,Good,"Kilmuckridge, Wexford",Number,2765
General Health of Population,2022,Males,Good,"New Ross, Wexford",Number,4511
General Health of Population,2022,Males,Good,"Rosslare, Wexford",Number,3606
General Health of Population,2022,Males,Good,"Wexford, Wexford",Number,4687
General Health of Population,2022,Males,Good,"Enniscorthy, Wexford",Number,4378
General Health of Population,2022,Males,Good,"Baltinglass, Wicklow",Number,4204
General Health of Population,2022,Males,Good,"Bray West, Wicklow",Number,2525
General Health of Population,2022,Males,Good,"Greystones, Wicklow",Number,3889
General Health of Population,2022,Males,Good,"Wicklow, Wicklow",Number,4774
General Health of Population,2022,Males,Good,"Arklow, Wicklow",Number,4200
General Health of Population,2022,Males,Good,"Bray East, Wicklow",Number,2730
General Health of Population,2022,Males,Good,"Rush-Lusk, Fingal",Number,5674
General Health of Population,2022,Males,Good,"Swords, Fingal",Number,6957
General Health of Population,2022,Males,Good,"Blanchardstown-Mulhuddart, Fingal",Number,5621
General Health of Population,2022,Males,Good,"Castleknock, Fingal",Number,6465
General Health of Population,2022,Males,Good,"Howth-Malahide, Fingal",Number,9294
General Health of Population,2022,Males,Good,"Stillorgan, Dún Laoghaire-Rathdown",Number,3982
General Health of Population,2022,Males,Good,"Dundrum, Dún Laoghaire-Rathdown",Number,4292
General Health of Population,2022,Males,Good,"Glencullen-Sandyford, Dún Laoghaire-Rathdown",Number,6320
General Health of Population,2022,Males,Good,"Killiney-Shankill, Dún Laoghaire-Rathdown",Number,5635
General Health of Population,2022,Males,Good,"Dún Laoghaire, Dún Laoghaire-Rathdown",Number,6195
General Health of Population,2022,Males,Good,"Blackrock, Dún Laoghaire-Rathdown",Number,4177
General Health of Population,2022,Males,Good,"Lucan, South Dublin",Number,8028
General Health of Population,2022,Males,Good,"Tallaght Central, South Dublin",Number,5619
General Health of Population,2022,Males,Good,"Rathfarnham-Templeogue, South Dublin",Number,7347
General Health of Population,2022,Males,Good,"Firhouse-Bohernabreena, South Dublin",Number,4973
General Health of Population,2022,Males,Good,"Tallaght South, South Dublin",Number,6032
General Health of Population,2022,Males,Good,"Clondalkin, South Dublin",Number,7815
General Health of Population,2022,Males,Good,"Balbriggan, Fingal",Number,5838
General Health of Population,2022,Males,Good,"Ongar, Fingal",Number,6365
General Health of Population,2022,Males,Good,"Palmerstown-Fonthill, South Dublin",Number,3216
General Health of Population,2022,Males,Good,"Ballymun-Finglas, Dublin City",Number,7622
General Health of Population,2022,Males,Good,"Cabra-Glasnevin, Dublin City",Number,8598
General Health of Population,2022,Males,Good,"Ballyfermot-Drimnagh, Dublin City",Number,7054
General Health of Population,2022,Males,Good,"Kimmage-Rathmines, Dublin City",Number,7971
General Health of Population,2022,Males,Good,"Pembroke, Dublin City",Number,5209
General Health of Population,2022,Males,Good,"South East Inner City, Dublin City",Number,5312
General Health of Population,2022,Males,Good,"North Inner City, Dublin City",Number,9538
General Health of Population,2022,Males,Good,"Clontarf, Dublin City",Number,7614
General Health of Population,2022,Males,Good,"Donaghmede, Dublin City",Number,6891
General Health of Population,2022,Males,Good,"Artane-Whitehall, Dublin City",Number,7288
General Health of Population,2022,Males,Good,"South West Inner City, Dublin City",Number,5918
General Health of Population,2022,Males,Good,"Ennistimon, Clare",Number,2838
General Health of Population,2022,Males,Good,"Killaloe, Clare",Number,3092
General Health of Population,2022,Males,Good,"Shannon, Clare",Number,4926
General Health of Population,2022,Males,Good,"Ennis, Clare",Number,4970
General Health of Population,2022,Males,Good,"Kilrush, Clare",Number,3787
General Health of Population,2022,Males,Good,"Kanturk, Cork County",Number,4122
General Health of Population,2022,Males,Good,"Fermoy, Cork County",Number,5951
General Health of Population,2022,Males,Good,"Midleton, Cork County",Number,7182
General Health of Population,2022,Males,Good,"Carrigaline, Cork County",Number,5345
General Health of Population,2022,Males,Good,"Cobh, Cork County",Number,5241
General Health of Population,2022,Males,Good,"Bandon-Kinsale, Cork County",Number,5885
General Health of Population,2022,Males,Good,"Bantry-West Cork, Cork County",Number,3874
General Health of Population,2022,Males,Good,"Skibbereen-West Cork, Cork County",Number,4839
General Health of Population,2022,Males,Good,"Macroom, Cork County",Number,5728
General Health of Population,2022,Males,Good,"Mallow, Cork County",Number,4646
General Health of Population,2022,Males,Good,"Cork City North West, Cork City",Number,5979
General Health of Population,2022,Males,Good,"Cork City North East, Cork City",Number,6426
General Health of Population,2022,Males,Good,"Cork City South East, Cork City",Number,6128
General Health of Population,2022,Males,Good,"Cork City South Central, Cork City",Number,6023
General Health of Population,2022,Males,Good,"Cork City South West, Cork City",Number,7007
General Health of Population,2022,Males,Good,"Glenties, Donegal",Number,3769
General Health of Population,2022,Males,Good,"Milford, Donegal",Number,2224
General Health of Population,2022,Males,Good,"Carndonagh, Donegal",Number,2768
General Health of Population,2022,Males,Good,"Buncrana, Donegal",Number,3393
General Health of Population,2022,Males,Good,"Donegal, Donegal",Number,4527
General Health of Population,2022,Males,Good,"Letterkenny, Donegal",Number,4722
General Health of Population,2022,Males,Good,"Lifford-Stranorlar, Donegal",Number,4208
General Health of Population,2022,Males,Good,"Conamara North, Galway County",Number,2974
General Health of Population,2022,Males,Good,"Tuam, Galway County",Number,5559
General Health of Population,2022,Males,Good,"Ballinasloe, Galway County",Number,4670
General Health of Population,2022,Males,Good,"Loughrea, Galway County",Number,3809
General Health of Population,2022,Males,Good,"Athenry-Oranmore, Galway County",Number,5179
General Health of Population,2022,Males,Good,"Gort-Kinvara, Galway County",Number,3682
General Health of Population,2022,Males,Good,"Conamara South, Galway County",Number,3206
General Health of Population,2022,Males,Good,"Galway City West, Galway City",Number,3458
General Health of Population,2022,Males,Good,"Galway City Central, Galway City",Number,4182
General Health of Population,2022,Males,Good,"Galway City East, Galway City",Number,4376
General Health of Population,2022,Males,Good,"Listowel, Kerry",Number,4898
General Health of Population,2022,Males,Good,"Castleisland, Kerry",Number,2833
General Health of Population,2022,Males,Good,"Killarney, Kerry",Number,4757
General Health of Population,2022,Males,Good,"Kenmare, Kerry",Number,4312
General Health of Population,2022,Males,Good,"Corca Dhuibhne, Kerry",Number,2383
General Health of Population,2022,Males,Good,"Tralee, Kerry",Number,5295
General Health of Population,2022,Males,Good,"Maynooth, Kildare",Number,4759
General Health of Population,2022,Males,Good,"Celbridge, Kildare",Number,3367
General Health of Population,2022,Males,Good,"Naas, Kildare",Number,6526
General Health of Population,2022,Males,Good,"Athy, Kildare",Number,4242
General Health of Population,2022,Males,Good,"Kildare, Kildare",Number,4329
General Health of Population,2022,Males,Good,"Clane, Kildare",Number,4658
General Health of Population,2022,Males,Good,"Leixlip, Kildare",Number,2485
General Health of Population,2022,Males,Good,"Newbridge, Kildare",Number,5402
General Health of Population,2022,Males,Good,"Castlecomer, Kilkenny",Number,3775
General Health of Population,2022,Males,Good,"Kilkenny, Kilkenny",Number,4351
General Health of Population,2022,Males,Good,"Piltown, Kilkenny",Number,3439
General Health of Population,2022,Males,Good,"Callan-Thomastown, Kilkenny",Number,3983
General Health of Population,2022,Males,Good,Ireland,Number,748517
General Health of Population,2022,Males,Fair,"Borris-In-Ossory-Mountmellick, Laois",Number,1219
General Health of Population,2022,Males,Fair,"Portlaoise, Laois",Number,1460
General Health of Population,2022,Males,Fair,"Graiguecullen -Portarlington, Laois",Number,1244
General Health of Population,2022,Males,Fair,"Carlow, Carlow",Number,1226
