"Statistic Label","Census Year","CSO Local Electoral Areas 2022","Sex","Highest Level of Education Completed","UNIT","VALUE"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Males","Doctorate(Ph.D) or higher","Number","79"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Males","Not stated","Number","681"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Males","Total","Number","7853"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Females","No formal education","Number","151"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Females","Primary education","Number","579"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Females","Lower secondary","Number","1119"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Females","Upper secondary","Number","1456"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Females","Technical or vocational qualification","Number","846"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Females","Advanced certificate/Completed apprenticeship","Number","316"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Females","Higher certificate","Number","548"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Females","Ordinary bachelor degree or national diploma","Number","586"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Females","Honours bachelor degree, professional qualification or both","Number","1071"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Females","Postgraduate diploma or degree","Number","788"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Females","Doctorate(Ph.D) or higher","Number","64"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Females","Not stated","Number","634"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Females","Total","Number","8158"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Both Sexes","No formal education","Number","318"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Both Sexes","Primary education","Number","1201"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Both Sexes","Lower secondary","Number","2375"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Both Sexes","Upper secondary","Number","2846"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Both Sexes","Technical or vocational qualification","Number","1507"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Both Sexes","Advanced certificate/Completed apprenticeship","Number","928"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Both Sexes","Higher certificate","Number","951"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Both Sexes","Ordinary bachelor degree or national diploma","Number","1134"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Both Sexes","Honours bachelor degree, professional qualification or both","Number","1905"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Both Sexes","Postgraduate diploma or degree","Number","1388"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Both Sexes","Doctorate(Ph.D) or higher","Number","143"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Both Sexes","Not stated","Number","1315"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Both Sexes","Total","Number","16011"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Males","No formal education","Number","164"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Males","Primary education","Number","679"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Males","Lower secondary","Number","1290"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Males","Upper secondary","Number","1189"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Males","Technical or vocational qualification","Number","490"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Males","Advanced certificate/Completed apprenticeship","Number","702"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Males","Higher certificate","Number","308"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Males","Ordinary bachelor degree or national diploma","Number","387"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Males","Honours bachelor degree, professional qualification or both","Number","532"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Males","Postgraduate diploma or degree","Number","315"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Males","Doctorate(Ph.D) or higher","Number","39"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Males","Not stated","Number","452"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Males","Total","Number","6547"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Females","No formal education","Number","140"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Females","Primary education","Number","496"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Females","Lower secondary","Number","907"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Females","Upper secondary","Number","1242"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Females","Technical or vocational qualification","Number","774"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Females","Advanced certificate/Completed apprenticeship","Number","298"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Females","Higher certificate","Number","510"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Females","Ordinary bachelor degree or national diploma","Number","471"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Females","Honours bachelor degree, professional qualification or both","Number","840"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Females","Postgraduate diploma or degree","Number","618"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Females","Doctorate(Ph.D) or higher","Number","28"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Females","Not stated","Number","475"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Females","Total","Number","6799"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Both Sexes","No formal education","Number","304"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Both Sexes","Primary education","Number","1175"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Both Sexes","Lower secondary","Number","2197"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Both Sexes","Upper secondary","Number","2431"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Both Sexes","Technical or vocational qualification","Number","1264"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Both Sexes","Advanced certificate/Completed apprenticeship","Number","1000"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Both Sexes","Higher certificate","Number","818"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Both Sexes","Ordinary bachelor degree or national diploma","Number","858"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Both Sexes","Honours bachelor degree, professional qualification or both","Number","1372"
"Population aged 15 years and over by sex and highest level of education completed","2022","Tullow, Carlow","Both Sexes","Postgraduate diploma or degree","Number","933"
