"Statistic Label","Census Year","CSO Local Electoral Areas 2022","Sex","Highest Level of Education Completed","UNIT","VALUE"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Females","Technical or vocational qualification","Number","1026"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Females","Advanced certificate/Completed apprenticeship","Number","472"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Females","Higher certificate","Number","704"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Females","Ordinary bachelor degree or national diploma","Number","897"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Females","Honours bachelor degree, professional qualification or both","Number","1459"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Females","Postgraduate diploma or degree","Number","1305"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Females","Doctorate(Ph.D) or higher","Number","162"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Females","Not stated","Number","1400"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Females","Total","Number","14674"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Both Sexes","No formal education","Number","790"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Both Sexes","Primary education","Number","3082"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Both Sexes","Lower secondary","Number","5053"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Both Sexes","Upper secondary","Number","5321"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Both Sexes","Technical or vocational qualification","Number","1920"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Both Sexes","Advanced certificate/Completed apprenticeship","Number","1342"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Both Sexes","Higher certificate","Number","1266"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Both Sexes","Ordinary bachelor degree or national diploma","Number","1760"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Both Sexes","Honours bachelor degree, professional qualification or both","Number","2742"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Both Sexes","Postgraduate diploma or degree","Number","2371"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Both Sexes","Doctorate(Ph.D) or higher","Number","352"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Both Sexes","Not stated","Number","2914"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North West, Cork City","Both Sexes","Total","Number","28913"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Males","No formal education","Number","356"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Males","Primary education","Number","958"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Males","Lower secondary","Number","2248"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Males","Upper secondary","Number","2831"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Males","Technical or vocational qualification","Number","1004"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Males","Advanced certificate/Completed apprenticeship","Number","986"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Males","Higher certificate","Number","649"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Males","Ordinary bachelor degree or national diploma","Number","1157"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Males","Honours bachelor degree, professional qualification or both","Number","1762"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Males","Postgraduate diploma or degree","Number","1420"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Males","Doctorate(Ph.D) or higher","Number","215"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Males","Not stated","Number","1331"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Males","Total","Number","14917"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Females","No formal education","Number","305"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Females","Primary education","Number","1123"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Females","Lower secondary","Number","2173"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Females","Upper secondary","Number","2938"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Females","Technical or vocational qualification","Number","1176"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Females","Advanced certificate/Completed apprenticeship","Number","508"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Females","Higher certificate","Number","908"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Females","Ordinary bachelor degree or national diploma","Number","1129"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Females","Honours bachelor degree, professional qualification or both","Number","1874"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Females","Postgraduate diploma or degree","Number","1801"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Females","Doctorate(Ph.D) or higher","Number","175"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Females","Not stated","Number","1022"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Females","Total","Number","15132"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Both Sexes","No formal education","Number","661"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Both Sexes","Primary education","Number","2081"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Both Sexes","Lower secondary","Number","4421"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Both Sexes","Upper secondary","Number","5769"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Both Sexes","Technical or vocational qualification","Number","2180"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Both Sexes","Advanced certificate/Completed apprenticeship","Number","1494"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Both Sexes","Higher certificate","Number","1557"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Both Sexes","Ordinary bachelor degree or national diploma","Number","2286"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Both Sexes","Honours bachelor degree, professional qualification or both","Number","3636"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Both Sexes","Postgraduate diploma or degree","Number","3221"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Both Sexes","Doctorate(Ph.D) or higher","Number","390"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Both Sexes","Not stated","Number","2353"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City North East, Cork City","Both Sexes","Total","Number","30049"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Males","No formal education","Number","198"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Males","Primary education","Number","512"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Males","Lower secondary","Number","1402"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Males","Upper secondary","Number","2385"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Males","Technical or vocational qualification","Number","843"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Males","Advanced certificate/Completed apprenticeship","Number","872"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Males","Higher certificate","Number","740"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Males","Ordinary bachelor degree or national diploma","Number","1394"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Males","Honours bachelor degree, professional qualification or both","Number","2782"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Males","Postgraduate diploma or degree","Number","2481"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Males","Doctorate(Ph.D) or higher","Number","407"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Males","Not stated","Number","649"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Males","Total","Number","14665"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Females","No formal education","Number","166"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Females","Primary education","Number","625"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Females","Lower secondary","Number","1674"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Females","Upper secondary","Number","2699"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Females","Technical or vocational qualification","Number","1034"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Females","Advanced certificate/Completed apprenticeship","Number","482"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Females","Higher certificate","Number","927"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Females","Ordinary bachelor degree or national diploma","Number","1519"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Females","Honours bachelor degree, professional qualification or both","Number","2950"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Females","Postgraduate diploma or degree","Number","2983"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Females","Doctorate(Ph.D) or higher","Number","306"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Females","Not stated","Number","767"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Females","Total","Number","16132"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Both Sexes","No formal education","Number","364"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Both Sexes","Primary education","Number","1137"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Both Sexes","Lower secondary","Number","3076"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Both Sexes","Upper secondary","Number","5084"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Both Sexes","Technical or vocational qualification","Number","1877"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Both Sexes","Advanced certificate/Completed apprenticeship","Number","1354"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Both Sexes","Higher certificate","Number","1667"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Both Sexes","Ordinary bachelor degree or national diploma","Number","2913"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Both Sexes","Honours bachelor degree, professional qualification or both","Number","5732"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Both Sexes","Postgraduate diploma or degree","Number","5464"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Both Sexes","Doctorate(Ph.D) or higher","Number","713"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Both Sexes","Not stated","Number","1416"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South East, Cork City","Both Sexes","Total","Number","30797"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Males","No formal education","Number","231"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Males","Primary education","Number","784"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Males","Lower secondary","Number","1622"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Males","Upper secondary","Number","2010"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Males","Technical or vocational qualification","Number","848"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Males","Advanced certificate/Completed apprenticeship","Number","746"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Males","Higher certificate","Number","686"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Males","Ordinary bachelor degree or national diploma","Number","1067"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Males","Honours bachelor degree, professional qualification or both","Number","1989"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Males","Postgraduate diploma or degree","Number","1786"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Males","Doctorate(Ph.D) or higher","Number","335"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Males","Not stated","Number","1476"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Males","Total","Number","13580"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Females","No formal education","Number","213"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Females","Primary education","Number","830"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Females","Lower secondary","Number","1613"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Females","Upper secondary","Number","2063"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Females","Technical or vocational qualification","Number","834"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Females","Advanced certificate/Completed apprenticeship","Number","412"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Females","Higher certificate","Number","720"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Females","Ordinary bachelor degree or national diploma","Number","1106"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Females","Honours bachelor degree, professional qualification or both","Number","2203"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Females","Postgraduate diploma or degree","Number","2123"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Females","Doctorate(Ph.D) or higher","Number","262"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Females","Not stated","Number","1189"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Females","Total","Number","13568"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Both Sexes","No formal education","Number","444"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Both Sexes","Primary education","Number","1614"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Both Sexes","Lower secondary","Number","3235"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Both Sexes","Upper secondary","Number","4073"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Both Sexes","Technical or vocational qualification","Number","1682"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Both Sexes","Advanced certificate/Completed apprenticeship","Number","1158"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Both Sexes","Higher certificate","Number","1406"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Both Sexes","Ordinary bachelor degree or national diploma","Number","2173"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Both Sexes","Honours bachelor degree, professional qualification or both","Number","4192"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Both Sexes","Postgraduate diploma or degree","Number","3909"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Both Sexes","Doctorate(Ph.D) or higher","Number","597"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Both Sexes","Not stated","Number","2665"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South Central, Cork City","Both Sexes","Total","Number","27148"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Males","No formal education","Number","252"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Males","Primary education","Number","761"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Males","Lower secondary","Number","1694"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Males","Upper secondary","Number","2587"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Males","Technical or vocational qualification","Number","991"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Males","Advanced certificate/Completed apprenticeship","Number","973"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Males","Higher certificate","Number","718"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Males","Ordinary bachelor degree or national diploma","Number","1357"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Males","Honours bachelor degree, professional qualification or both","Number","2673"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Males","Postgraduate diploma or degree","Number","2137"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Males","Doctorate(Ph.D) or higher","Number","408"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Males","Not stated","Number","992"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Males","Total","Number","15543"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Females","No formal education","Number","225"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Females","Primary education","Number","896"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Females","Lower secondary","Number","1924"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Females","Upper secondary","Number","2996"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Females","Technical or vocational qualification","Number","1126"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Females","Advanced certificate/Completed apprenticeship","Number","516"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Females","Higher certificate","Number","950"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Females","Ordinary bachelor degree or national diploma","Number","1553"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Females","Honours bachelor degree, professional qualification or both","Number","3066"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Females","Postgraduate diploma or degree","Number","2776"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Females","Doctorate(Ph.D) or higher","Number","308"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Females","Not stated","Number","999"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Females","Total","Number","17335"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Both Sexes","No formal education","Number","477"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Both Sexes","Primary education","Number","1657"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Both Sexes","Lower secondary","Number","3618"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Both Sexes","Upper secondary","Number","5583"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Both Sexes","Technical or vocational qualification","Number","2117"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Both Sexes","Advanced certificate/Completed apprenticeship","Number","1489"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Both Sexes","Higher certificate","Number","1668"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Both Sexes","Ordinary bachelor degree or national diploma","Number","2910"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Both Sexes","Honours bachelor degree, professional qualification or both","Number","5739"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Both Sexes","Postgraduate diploma or degree","Number","4913"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Both Sexes","Doctorate(Ph.D) or higher","Number","716"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Both Sexes","Not stated","Number","1991"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cork City South West, Cork City","Both Sexes","Total","Number","32878"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Males","No formal education","Number","412"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Males","Primary education","Number","1451"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Males","Lower secondary","Number","1723"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Males","Upper secondary","Number","1498"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Males","Technical or vocational qualification","Number","462"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Males","Advanced certificate/Completed apprenticeship","Number","649"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Males","Higher certificate","Number","416"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Males","Ordinary bachelor degree or national diploma","Number","565"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Males","Honours bachelor degree, professional qualification or both","Number","640"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Males","Postgraduate diploma or degree","Number","448"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Males","Doctorate(Ph.D) or higher","Number","55"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Males","Not stated","Number","521"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Males","Total","Number","8840"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Females","No formal education","Number","296"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Females","Primary education","Number","1123"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Females","Lower secondary","Number","1299"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Females","Upper secondary","Number","1603"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Females","Technical or vocational qualification","Number","744"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Females","Advanced certificate/Completed apprenticeship","Number","331"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Females","Higher certificate","Number","600"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Females","Ordinary bachelor degree or national diploma","Number","758"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Females","Honours bachelor degree, professional qualification or both","Number","997"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Females","Postgraduate diploma or degree","Number","823"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Females","Doctorate(Ph.D) or higher","Number","47"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Females","Not stated","Number","543"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Females","Total","Number","9164"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Both Sexes","No formal education","Number","708"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Both Sexes","Primary education","Number","2574"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Both Sexes","Lower secondary","Number","3022"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Both Sexes","Upper secondary","Number","3101"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Both Sexes","Technical or vocational qualification","Number","1206"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Both Sexes","Advanced certificate/Completed apprenticeship","Number","980"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Both Sexes","Higher certificate","Number","1016"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Both Sexes","Ordinary bachelor degree or national diploma","Number","1323"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Both Sexes","Honours bachelor degree, professional qualification or both","Number","1637"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Both Sexes","Postgraduate diploma or degree","Number","1271"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Both Sexes","Doctorate(Ph.D) or higher","Number","102"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Both Sexes","Not stated","Number","1064"
"Population aged 15 years and over by sex and highest level of education completed","2022","Glenties, Donegal","Both Sexes","Total","Number","18004"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Males","No formal education","Number","195"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Males","Primary education","Number","654"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Males","Lower secondary","Number","995"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Males","Upper secondary","Number","897"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Males","Technical or vocational qualification","Number","313"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Males","Advanced certificate/Completed apprenticeship","Number","320"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Males","Higher certificate","Number","218"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Males","Ordinary bachelor degree or national diploma","Number","310"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Males","Honours bachelor degree, professional qualification or both","Number","454"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Males","Postgraduate diploma or degree","Number","316"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Males","Doctorate(Ph.D) or higher","Number","37"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Males","Not stated","Number","263"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Males","Total","Number","4972"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Females","No formal education","Number","143"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Females","Primary education","Number","502"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Females","Lower secondary","Number","620"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Females","Upper secondary","Number","879"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Females","Technical or vocational qualification","Number","414"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Females","Advanced certificate/Completed apprenticeship","Number","192"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Females","Higher certificate","Number","356"
