"","cso_lea","longitude","latitude","prmry_cm","min_dist"
"128","NENAGH",-8.12283170148618,52.9964313030823,90,15317.3979379749
"129","NEW ROSS",-6.82677421423667,52.366983579509,89.8,22907.086471269
"130","NEWBRIDGE",-6.73375003774318,53.161197461851,92.3,7565.80767849629
"131","NEWCASTLE WEST",-9.09676704233163,52.4243858155601,93,40167.4976467131
"132","NEWPORT",-8.26854835756159,52.7782393766305,94.1,11009.2469068138
"133","NORTH INNER CITY",-6.24642157690941,53.3529300825288,74.1,1024.36321635709
"134","ONGAR",-6.42737586663171,53.3944527284911,76.2,9656.85036345104
"135","PALMERSTOWN-FONTHILL",-6.38625286632483,53.3484476616153,81.9,4781.29226606087
"136","PEMBROKE",-6.23341559117892,53.3227249994292,90.1,2101.40994371062
"137","PILTOWN",-7.16907954451109,52.3510989509567,89.5,11227.9064570154
"138","PORTLAOISE",-7.30873182759888,52.9713178916616,84.9,7354.85918360098
"139","PORTLAW-KILMACTHOMAS",-7.48115860069659,52.2484814719756,93.5,20214.0847874146
"140","RATHFARNHAM-TEMPLEOGUE",-6.31562659301881,53.2997237753462,99.1,4324.73665361518
"141","RATOATH",-6.56227762236206,53.4714565980988,90.4,5973.91804782566
"142","ROSCOMMON",-8.36320227663228,53.7289878856428,91,16612.8673892965
"143","ROSCREA-TEMPLEMORE",-7.84884077212189,52.8286584070039,94,23306.3103532439
"144","ROSSLARE",-6.56447649952308,52.2523572817872,95.8,28354.5826527718
"145","RUSH-LUSK",-6.25669113739,53.5384778386419,86.9,11505.5770752151
"146","SHANNON",-8.79012404628885,52.717255245713,89.8,12698.4307979089
"147","SKIBBEREEN-WEST CORK",-9.07896865044479,51.6454530406449,90.9,25757.5108098582
"148","SLIGO-DRUMCLIFF",-8.46906093544346,54.3048059974993,94.6,4826.76488288695
"149","SLIGO-STRANDHILL",-8.5317489607879,54.2678402226195,88.3,4686.17301331735
"150","SOUTH EAST INNER CITY",-6.23823989108056,53.3394116313496,74.8,2621.4888698425
"151","SOUTH WEST INNER CITY",-6.29690934642839,53.340059021961,74.3,1307.60996973373
"152","STILLORGAN",-6.20168133101433,53.284893363338,89.5,2614.30966965409
"153","SWINFORD",-8.88390715265281,53.9152244168449,96.1,24442.710000032
"154","SWORDS",-6.2692436516557,53.4647936779739,84.8,4274.94547697007
"155","TALLAGHT CENTRAL",-6.36878704374128,53.2978998494577,88.5,5347.17859359807
"156","TALLAGHT SOUTH",-6.40389475920484,53.2563142366167,74,4365.56357224287
"157","THURLES",-7.8106605027248,52.6736127894932,93.3,33268.8082262408
"158","TRALEE",-9.74629087874081,52.2838920071094,90.7,2550.28660407084
"159","TRAMORE-WATERFORD CITY WEST",-7.18066580487,52.1958212365575,90.7,6112.08071733206
"160","TRIM",-6.88507398702459,53.4998105349799,90.6,23226.2965134098
"161","TUAM",-8.88332669321909,53.5202802959358,92,25849.0544545686
"162","TULLAMORE",-7.56977881696284,53.2820747594922,92.5,3604.04639319531
"163","TULLOW",-6.71871418141398,52.7847771357567,88.9,16017.0591819377
"164","WATERFORD CITY EAST",-7.03517107590123,52.2021566127834,92.6,11586.5406910726
"165","WATERFORD CITY SOUTH",-7.12215581171334,52.214348558857,85.2,5907.26666474072
"166","WESTPORT",-9.63587076786174,53.7515760211374,88.1,28324.6111473113
"167","WEXFORD",-6.50758007475083,52.3639113989127,92.5,16663.6681737988
"168","WICKLOW",-6.21699209857458,53.0344236551174,90.7,15130.3407774496
