"CSO_LEA","p_age_12to17","p_age_18to54","p_age_55to64","p_age_65to70","p_age_71plus","p_edu_NoFormal","p_edu_Primary","p_edu_UpperSecondary","p_edu_Apprenticeship","p_edu_HonoursBachelor","p_edu_Postgraduate","p_health_VeryBad","p_health_Bad","p_health_Fair","p_health_Good","p_health_VeryGood","Wt_accessibility_Initial_Vacc","accessibility_Pharmacy10","accessibility_GP10","Primary_Vax_Rate"
"CLONMEL",0.106006542,0.520566954,0.156457528,0.12359996,0.093369016,0.037711183,0.13616251,0.352775543,0.147123894,0.188857603,0.137369268,0.004282377,0.017778355,0.106151051,0.34081668,0.530971537,2.411117907,27.20293025,3.81482063380471,94.5
"CLONTARF",0.077191681,0.553261605,0.151655355,0.114859999,0.103031361,0.019021739,0.086063133,0.226436867,0.083382966,0.291430911,0.293664384,0.00337689,0.013746146,0.084734253,0.289770225,0.608372486,0.731584338,55.05725491,19.7854679752165,94.1
"COBH",0.123913799,0.58074383,0.133611401,0.096211331,0.065519639,0.02485578,0.087173278,0.324763194,0.139662417,0.233245495,0.190299836,0.003001584,0.01170062,0.07737417,0.296934493,0.610989133,0.406937896,20.58260823,15.0299228752009,93.1
"CONAMARA NORTH",0.104132901,0.457725554,0.170380875,0.161669368,0.106091302,0.057651715,0.185356201,0.296437995,0.122295515,0.176912929,0.161345646,0.004231884,0.014782609,0.113333333,0.340289855,0.527362319,0.007701691,0.995677808,9.15788229186924,93.1
"CONAMARA SOUTH",0.110358799,0.500346537,0.164258677,0.131097724,0.093938263,0.050288541,0.130358615,0.236912613,0.104492993,0.221970322,0.255976917,0.003223756,0.013439884,0.093534326,0.293997457,0.595804577,0.069665873,23.04684599,14.7803638985259,93.3
"CORCA DHUIBHNE",0.096507051,0.482617252,0.168907839,0.151771072,0.100196786,0.035234349,0.1273353,0.327597509,0.125860374,0.21468371,0.169288758,0.00229869,0.011493452,0.092992477,0.331429368,0.561786013,0.139886018,10.95632443,6.16737977922104,92.7
"CORK CITY NORTH EAST",0.095458392,0.593399154,0.134950635,0.09932299,0.076868829,0.03766811,0.118589013,0.328755414,0.124230682,0.2072031,0.183553681,0.003837355,0.017341894,0.094999139,0.321526087,0.562295526,0.450263862,31.7929718,12.4458394073743,92.2
"CORK CITY NORTH WEST",0.091354093,0.571066289,0.144049304,0.112556027,0.080974286,0.048687292,0.189942068,0.327930482,0.118328608,0.168988044,0.146123505,0.006174324,0.021944244,0.120466148,0.329591319,0.521823965,0.462990264,42.53327714,14.1740634498875,94.4
"CORK CITY SOUTH CENTRAL",0.057796036,0.639582288,0.135066483,0.089343954,0.078211239,0.027899962,0.101420133,0.255938168,0.1056931,0.26341586,0.245632776,0.00355613,0.017107142,0.102265686,0.33379132,0.543279722,0.555634171,31.75093341,11.9425132539264,91.7
"CORK CITY SOUTH EAST",0.095507625,0.557136969,0.157466685,0.100810551,0.08907817,0.018516634,0.057839048,0.258622444,0.095482755,0.291586123,0.277952996,0.002854557,0.012416162,0.08245724,0.293856901,0.608415141,0.688906021,42.8224194,16.1734314672954,96.4
"CORK CITY SOUTH WEST",0.087239649,0.569350834,0.135407693,0.107991689,0.100010135,0.023284194,0.080884506,0.27252758,0.103338866,0.280142536,0.239822318,0.003335696,0.014009924,0.087290998,0.309135638,0.586227745,0.830323641,52.12890972,18.336215074834,88.5
"DONAGHMEDE",0.090112607,0.583756618,0.126958532,0.095514526,0.103657717,0.036177823,0.146704139,0.315074093,0.128461932,0.203117016,0.170464997,0.004818132,0.017055737,0.098873507,0.328628303,0.550624321,0.0983124,21.39522472,8.24008628052786,87.1
"DONEGAL",0.103787812,0.478621485,0.163798456,0.144371507,0.10942074,0.042312746,0.20087604,0.320367937,0.143583005,0.166710469,0.126149803,0.003237209,0.015293023,0.108167442,0.33812093,0.535181395,0.022377015,33.60250708,8.13824303134457,91.3
"DROGHEDA RURAL",0.149336138,0.577954516,0.129091626,0.085118969,0.058498751,0.041900224,0.11448991,0.326513453,0.151625561,0.210622197,0.154848655,0.003051026,0.013203577,0.086691215,0.302472383,0.594581799,0.13420748,19.98467073,8.48547625484854,86.2
"DROGHEDA URBAN",0.100065717,0.556495071,0.14939759,0.104841183,0.089200438,0.06095909,0.191456696,0.317619435,0.146482435,0.164634697,0.118847647,0.004804526,0.023867643,0.122515402,0.342826146,0.505986284,0.012896883,5.263573774,1.91924854061926,90
"DÚN LAOGHAIRE",0.089495297,0.520439793,0.151145847,0.117393032,0.12152603,0.021962337,0.061466918,0.203416364,0.075555965,0.282563654,0.355034762,0.003282228,0.01312891,0.084016213,0.289893383,0.609679267,0.128860685,40.31119921,10.1018483426578,96
"DUNDALK-CARLINGFORD",0.115290669,0.531509526,0.146995603,0.114655594,0.091548608,0.069815195,0.162525667,0.325770021,0.135626283,0.183059548,0.123203285,0.004451102,0.020843141,0.10952279,0.322105714,0.543077252,0.810035685,32.42784135,8.06670156440927,85
"DUNDALK SOUTH",0.114193504,0.573988876,0.133763648,0.102932088,0.075121884,0.044449111,0.122217556,0.314643707,0.128587428,0.231415372,0.158686826,0.003863257,0.014619233,0.096220122,0.318232351,0.567065036,2.025793632,22.50178211,9.63680124433601,85.5
"DUNDRUM",0.086256037,0.53222231,0.142546117,0.114836513,0.124139023,0.019807923,0.077164199,0.203081232,0.077030812,0.298185941,0.324729892,0.002930757,0.013140097,0.079355878,0.291884058,0.612689211,0.572223299,30.66258687,12.5075674758818,98
"DUNGARVAN",0.111424224,0.513047399,0.156174266,0.124048921,0.095305191,0.041965645,0.133289846,0.301587302,0.152207002,0.210154381,0.160795825,0.003516669,0.014910677,0.096028508,0.320626436,0.56491771,0.037531351,17.36985808,6.27006159605688,91.2
"EDENDERRY",0.124528878,0.562952022,0.142609759,0.09931751,0.07059183,0.049567786,0.168180326,0.383958858,0.153299048,0.147499726,0.097494255,0.003852504,0.018627492,0.102154862,0.33338978,0.541975361,0.432131129,5.580551197,4.17053805317188,92.4
